Dataset,freq_spw,Spectrum type,Species,QNs,Frequency (GHz),Velocity (km/s),Eu (K),Comment,Additional comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,CSv=0,5-4,244.935556,43.09372782,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,SO2v2=1,"5(2,4)-4(1,3)",245.002659,68.00596483,783.65756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,CH313CH2CN,"27(2,25)-26(2,24)",245.004418,70.15782526,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,CH2NH,"4(1,4)-3(1,3)",245.12579,41.07429858,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,CH3OHvt=0-2,"5(1,4)-4(1,3)--",243.915811,37.82599919,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,34SO2v=0,"18(1,17)-18(0,18)",243.9359586,62.58387605,162.81949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,c-H13CCCH,"13(6,7)-13(5,8)",243.9662781,74.31394384,248.61612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,"CH3CHOv=0,1&2","14(3,12)-14(2,13)A+-",243.975379,69.8502238,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,H2CS,"7(1,6)-6(1,5)",244.04784,40.14174029,60.04465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,c-HCCCHv=0,"3(2,1)-2(1,2)",244.2221334,41.2261178,18.16614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,UnidentifiedTransition,U-244878,244.878,7.410177626,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,CSv=0,5-4,244.935556,68.66456004,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,244_spw65,max,CH3OHvt=0-2,"5(0,5)-4(0,4)",241.700168,21.02340392,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,UnidentifiedTransition,U-241719,241.719,44.3781905,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,CH2CHCNv=0,"25(2,23)-24(2,22)",241.737567,67.400771,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,HNCOv=0,"11(0,11)-10(0,10)",241.774032,0.3958530629,69.62261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,Al37Clv=0,"J=17-16,F1=35/2-29/2,F2=16-15",241.8538872,54.68944326,104.4927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,CH3CH2CNv=0,"27(10,*)-26(10,*)",241.922546,62.96074449,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,CH3OCH3,"13(1,13)-12(0,12)EE",241.946537,67.63143047,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,OCSv=0,20-19,243.218036,40.88172872,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,SO2v=0,"26(8,18)-27(7,21)",243.245401,74.60364844,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,CH3OHvt=0-2,"5(0,5)-4(0,4)",241.700168,11.74157802,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,UnidentifiedTransition,U-241719,241.719,35.09708773,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,CH2CHCNv=0,"25(2,23)-24(2,22)",241.737567,58.12038108,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,HNCOv=0,"11(0,11)-10(0,10)",241.774032,8.129756397,69.62261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,Al37Clv=0,"J=17-16,F1=35/2-29/2,F2=16-15",241.8538872,7.253171654,104.4927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,CH3CH2CNv=0,"27(10,*)-26(10,*)",241.922546,69.43478483,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,CH3OCH3,"13(1,13)-12(0,12)EE",241.946537,64.43213329,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
