Dataset,freq_spw,Spectrum type,Species,QNs,Frequency (GHz),Velocity (km/s),Comment,Additional comment
data51,89_spw27,max,CCHv=0,"N=1-0,J=1/2-1/2,F=1-0",87.446512,39.07043282,"in Jones, Belloche; weaker in mean",
data51,89_spw27,max,NH2CHO,"4(1,3)-3(1,2),F=4-4",87.8485326,38.9921247,in Belloche,
data51,89_spw27,max,HNCOv=0,"4(0,4)-3(0,3),F=3-3",87.9243509,66.20028054,"in Jones, Belloche",
data51,89_spw27,max,HCNv=0,"J=1-0,F=1-1",88.6304157,43.19306574,"in Jones, Belloche",
data51,89_spw27,max,CH313CH2CN,"10(5,*)-9(5,*)",89.129913,7.246082738,probably in Belloche,
data51,89_spw27,max,CH3CH213CN,"10(4,7)-9(4,6)",89.142905,50.93783222,probably in Belloche,
data51,89_spw27,max,HCO+v=0,1-0,89.1885247,41.02629301,"in Jones, Belloche",
data51,89_spw27,mean,NH2CHO,"4(1,3)-3(1,2),F=4-4",87.8485326,28.36948188,in Belloche,
data51,89_spw27,mean,HNCOv=0,"4(0,4)-3(0,3),F=3-3",87.9243509,19.85211759,"in Jones, Belloche",
data51,89_spw27,mean,H13CCCNv=0,"J=10-9,F=9-8",88.1667826,30.97020171,in Belloche,
data51,89_spw27,mean,HCNv=0,"J=1-0,F=1-1",88.6304157,39.41874726,"in Jones, Belloche; weird structure (line wing?)",
data51,89_spw27,mean,CH3NH2,"2(0)B1-1(0)B2,F=1-0",88.668502,23.6305104,in Belloche,
data51,89_spw27,mean,CH3CH213CN,"10(4,7)-9(4,6)",89.142905,36.16077351,probably in Belloche,
data51,89_spw27,mean,HCO+v=0,1-0,89.1885247,41.72107438,"in Jones, Belloche",
