Seq,GLON,GLAT,Flux,Vel,Tb,e_Tb,amaj,amin,PA,Ref,_RA.icrs,_DE.icrs
157,359.99307,-0.08222,11.83,33.2,157.88,27.20,2.15,1.19,230.9,,266.48109,-28.98490
158,359.99125,-0.04605,24.35,82.9,200.40,13.24,2.15,1.93,45.5,,266.44471,-28.96763
159,359.98948,-0.06961,36.55,49.7,4640.42,9.75,2.15,1.18,54.9,,266.46665,-28.98141
160,359.98945,-0.05699,344.67,66.3,334.04,41.22,1.92,0.95,235.9,SPF 2010,266.45432,-28.97486
161,359.98874,-0.08297,17.84,16.6,353.04,22.55,2.60,1.36,47.1,,266.47925,-28.98899
162,359.98733,-0.09945,0.62,-132.6,14.30,2.30,1.89,0.78,224.4,,266.49450,-28.99877
163,359.98725,-0.04716,7.12,66.3,133.69,19.12,1.82,1.00,237.7,,266.44341,-28.97162
164,359.98442,-0.06142,468.31,49.7,7260.27,56.31,2.16,1.02,242.8,SPF 2010,266.45565,-28.98146
165,359.98313,-0.06307,243.67,49.7,3847.74,256.27,2.23,0.97,236.4,SPF 2010,266.45649,-28.98342
166,359.98229,-0.04431,6.66,0.0,68.40,8.44,2.60,1.28,69.3,,266.43768,-28.97437
167,359.97477,-0.07051,238.62,49.7,4403.94,198.13,1.99,0.93,234.3,SPF 2010,266.45877,-28.99443
168,359.96946,-0.07529,270.76,49.7,3086.45,127.20,2.27,1.32,243.3,SPF 2010,266.46028,-29.00146
169,359.95024,-0.05775,6.46,16.6,94.22,7.27,2.17,1.08,235.4,SPF 2010,266.43171,-29.00873
170,359.94841,0.01754,4.89,66.3,20.95,3.60,1.99,1.21,67.1,,266.35716,-28.97106
171,359.94789,-0.07981,1.48,33.2,73.30,11.92,1.98,1.15,54.6,,266.45185,-29.02223
172,359.94634,0.09725,1.51,82.9,25.52,4.66,1.81,1.12,72.7,,266.27821,-28.93124
173,359.94603,-0.08819,5.47,33.2,49.17,7.09,3.22,1.18,241.7,,266.45892,-29.02818
174,359.94057,-0.09195,3.35,66.3,61.44,3.28,2.07,0.90,237.2,,266.45934,-29.03480
175,359.93894,-0.12680,1.51,-99.5,17.42,2.43,2.43,1.22,231.4,,266.49241,-29.05433
176,359.93748,0.02629,11.31,66.3,44.72,5.65,4.57,1.89,105.7,,266.34211,-28.97582
177,359.93498,-0.12659,1.67,-99.5,14.26,2.56,2.48,1.61,19.4,,266.48985,-29.05760
178,359.93353,0.02722,3.71,66.3,29.82,5.68,1.81,0.79,71.7,,266.33885,-28.97871
179,359.93280,-0.05830,1.25,49.7,22.49,4.22,4.34,1.30,228.5,,266.42186,-29.02390
180,359.93145,-0.08252,14.43,33.2,106.18,9.84,2.92,1.59,41.8,,266.44470,-29.03767
181,359.92907,-0.10853,0.87,-132.6,12.29,2.18,2.10,1.15,60.3,,266.46869,-29.05325
182,359.91572,-0.13387,1.98,-149.2,12.37,2.01,4.63,1.18,218.8,,266.48549,-29.07783
183,359.91330,-0.03368,1.68,0.0,33.61,2.66,1.94,0.88,246.4,,266.38621,-29.02772
184,359.91238,-0.06231,13.31,16.6,171.46,20.79,2.41,1.10,62.9,,266.41361,-29.04342
185,359.91212,-0.05326,8.94,16.6,76.44,11.29,2.48,1.61,238.1,,266.40462,-29.03893
186,359.91146,-0.13058,4.44,66.3,43.89,2.87,2.52,1.37,54.6,,266.47974,-29.07976
187,359.90982,-0.12498,2.12,-149.2,36.64,2.39,2.04,0.97,232.8,,266.47329,-29.07824
188,359.90637,-0.10605,3.74,-116.0,46.75,2.36,2.60,1.05,53.3,,266.45275,-29.07134
189,359.90143,-0.06112,33.62,16.6,193.26,27.05,6.00,1.69,248.8,,266.40592,-29.05215
190,359.90064,-0.07022,57.37,16.6,293.48,43.29,2.43,1.61,257.3,,266.41434,-29.05757
191,359.90017,-0.06338,6.42,0.0,65.62,9.91,2.32,1.44,244.8,,266.40738,-29.05440
192,359.89990,0.01417,64.23,82.9,94.25,4.99,6.00,3.88,177.8,,266.33153,-29.01421
193,359.89776,0.01630,4.44,82.9,81.03,8.06,2.08,0.90,68.0,,266.32817,-29.01492
194,359.89603,0.01909,5.45,66.3,36.40,6.43,3.14,1.63,266.2,,266.32442,-29.01494
195,359.89544,0.02174,7.71,99.5,16.47,3.18,2.27,1.14,69.7,,266.32148,-29.01406
196,359.89540,-0.09942,1.25,16.6,78.15,7.19,2.34,1.44,68.4,,266.43973,-29.07725
197,359.89370,-0.06916,87.53,16.6,466.54,65.25,3.56,1.80,260.7,,266.40917,-29.06294
198,359.89341,-0.09847,4.85,33.2,25.76,4.22,3.99,1.61,76.2,,266.43762,-29.07845
199,359.89247,0.02356,23.71,82.9,20.52,4.00,1.95,0.82,252.4,,266.31793,-29.01565
200,359.89216,-0.07664,8.91,16.6,322.48,34.68,2.73,0.92,56.4,,266.41555,-29.06815
201,359.89188,-0.06567,32.31,16.6,1128.26,50.52,1.63,0.60,246.6,,266.40467,-29.06267
202,359.89173,-0.06563,121.66,16.6,685.48,53.46,4.21,1.44,82.0,,266.40455,-29.06278
203,359.89166,-0.06671,0.96,33.2,237.82,41.04,1.60,0.80,60.9,,266.40556,-29.06340
204,359.89062,-0.05378,2.77,0.0,48.68,4.57,2.16,0.90,240.8,,266.39231,-29.05755
205,359.88871,-0.06663,15.40,33.2,219.32,30.02,2.05,1.17,63.6,,266.40372,-29.06588
206,359.87897,-0.08370,67.67,16.6,64.21,8.61,6.00,6.00,-308.3,,266.41459,-29.08309
207,359.87722,-0.09400,2.96,33.2,36.71,5.75,2.15,1.28,232.5,,266.42360,-29.08994
208,359.87322,-0.08219,6.97,0.0,74.28,9.96,2.94,1.09,58.1,,266.40968,-29.08721
209,359.87316,-0.06802,5.16,0.0,113.50,12.33,1.94,0.80,238.7,,266.39581,-29.07987
210,359.87288,-0.04584,3.45,16.6,38.97,4.78,2.03,1.49,233.3,,266.37398,-29.06855
211,359.86896,-0.05139,5.55,0.0,87.10,6.00,2.20,0.99,59.3,,266.37706,-29.07479
212,359.86736,-0.10064,0.77,16.6,34.22,6.60,3.52,1.07,48.8,,266.42421,-29.10182
213,359.86727,-0.05074,3.77,0.0,47.01,6.83,2.04,1.15,243.4,,266.37542,-29.07590
214,359.86726,-0.10397,3.23,16.6,23.94,4.48,1.50,0.73,228.7,,266.42741,-29.10364
215,359.86319,-0.08024,9.43,0.0,85.19,16.18,1.97,1.92,57.6,,266.40180,-29.09475
216,359.85787,-0.08236,8.12,0.0,88.36,13.14,1.95,1.61,66.5,,266.40070,-29.10040
217,359.85638,0.02244,0.86,66.3,25.21,2.50,2.77,1.25,253.8,,266.29749,-29.04702
218,359.85585,-0.07471,2.56,66.3,15.06,2.25,1.99,0.98,238.0,,266.39202,-29.09813
219,359.85547,-0.08292,9.34,16.6,101.81,18.73,2.59,1.21,63.5,,266.39981,-29.10274
220,359.85228,-0.08624,149.18,0.0,408.28,0.49,6.00,2.08,80.6,,266.40115,-29.10719
221,359.85105,-0.07944,15.12,0.0,161.34,31.82,2.56,1.25,61.5,,266.39378,-29.10470
222,359.84987,-0.08684,22.38,0.0,214.02,32.45,2.48,1.44,52.8,,266.40030,-29.10956
223,359.84749,-0.06893,10.98,0.0,88.10,11.41,2.93,2.12,-86.6,,266.38139,-29.10226
224,359.84692,-0.09060,16.02,0.0,194.83,19.28,2.07,0.93,236.2,,266.40222,-29.11404
225,359.83829,-0.06929,0.53,33.2,14.30,2.10,1.84,0.69,242.6,,266.37625,-29.11030
226,359.83730,-0.06854,4.39,16.6,89.22,3.52,2.00,0.84,239.1,,266.37493,-29.11075
227,359.82592,0.02142,37.72,66.3,139.44,12.17,6.00,1.54,249.3,,266.28030,-29.07354
228,359.82202,-0.07485,1.37,33.2,41.98,3.54,2.39,1.11,233.6,,266.37198,-29.12708
229,359.82190,-0.10264,3.26,0.0,20.19,3.10,2.00,1.16,233.0,,266.39906,-29.14167
230,359.82047,0.01241,3.54,66.3,39.66,4.20,2.53,1.02,70.2,,266.28584,-29.08289
231,359.82038,-0.11362,3.00,0.0,21.64,2.12,2.94,1.90,211.6,,266.40888,-29.14868
232,359.81900,-0.08750,0.50,16.6,13.02,2.47,1.92,0.68,226.9,,266.38253,-29.13625
233,359.81586,0.01507,6.22,66.3,20.33,3.41,5.94,1.76,42.5,,266.28049,-29.08543
234,359.81546,-0.08071,2.52,-16.6,42.04,2.88,2.47,0.83,59.1,,266.37379,-29.13573
235,359.81315,-0.06568,2.53,33.2,15.99,2.47,3.51,1.54,220.9,,266.35772,-29.12987
236,359.78621,-0.07778,0.61,33.2,12.47,2.24,2.07,0.81,61.1,,266.35346,-29.15917
237,359.78515,-0.07612,0.93,16.6,19.36,2.07,2.01,0.82,235.2,,266.35121,-29.15920
238,359.77925,-0.14674,1.28,16.6,14.88,2.46,3.22,0.91,44.6,,266.41672,-29.20105
239,359.77882,-0.08390,4.41,-33.2,40.03,2.74,3.58,1.05,236.8,,266.35503,-29.16866
240,359.76561,0.00464,0.91,66.3,15.82,2.34,1.96,1.00,245.1,,266.26065,-29.13374
241,359.75855,-0.10280,0.56,66.3,16.14,2.12,1.66,0.72,238.1,,266.36140,-29.19581
242,359.74707,-0.10923,3.12,-16.6,57.76,2.20,2.17,0.85,234.6,,266.36083,-29.20896
243,359.74042,0.02272,1.13,-116.0,14.10,2.46,2.34,1.17,247.6,,266.22794,-29.14578
244,359.73899,0.01358,1.40,-82.9,10.34,1.95,2.83,1.63,242.1,,266.23601,-29.15177
245,359.73609,-0.07928,4.24,99.5,44.91,2.45,2.60,1.24,223.0,,266.32499,-29.20271
246,359.73059,-0.16664,3.99,-33.2,74.02,8.66,1.96,0.94,224.6,,266.40713,-29.25295
247,359.73010,-0.04932,4.28,16.6,18.96,3.52,1.86,0.96,246.5,,266.29213,-29.19219
248,359.73005,-0.06570,0.99,-66.3,14.77,2.02,6.00,1.65,65.5,,266.30811,-29.20078
249,359.72813,-0.05850,3.36,-49.7,19.13,3.21,3.00,2.00,234.1,,266.29993,-29.19866
250,359.72710,0.02165,3.31,66.3,31.65,2.27,2.98,1.20,250.3,,266.22101,-29.15770
251,359.72605,-0.05994,4.47,-66.3,41.08,2.82,2.46,1.51,232.7,,266.30009,-29.20119
252,359.72604,0.01086,0.58,66.3,12.93,1.96,1.80,0.85,248.8,,266.23092,-29.16424
253,359.72377,-0.05948,1.24,16.6,22.02,3.75,1.86,1.03,56.7,,266.29828,-29.20289
254,359.71997,-0.04707,0.23,165.8,7.68,1.46,1.41,0.71,239.5,,266.28388,-29.19966
