Seq,GLON,GLAT,Flux,Vel,Tb,e_Tb,amaj,amin,PA,Ref,_RA.icrs,_DE.icrs
313,359.59509,0.01421,0.33,-82.9,15.38,1.42,1.45,0.50,-97.0,,266.14924,-29.27413
314,359.59207,-0.03232,33.69,16.6,661.85,6.70,1.89,0.92,241.7,,266.19291,-29.30103
315,359.59174,-0.01153,0.41,-33.2,10.62,1.97,1.57,0.83,65.7,,266.17238,-29.29045
316,359.59090,0.01987,0.79,49.7,13.68,2.17,3.62,1.17,70.8,,266.14119,-29.27474
317,359.59057,-0.07270,1.70,-182.3,10.37,1.75,2.29,1.14,57.9,,266.23149,-29.32340
318,359.59024,-0.03875,1.57,-16.6,36.16,2.19,1.76,0.84,241.8,,266.19810,-29.30595
319,359.58603,-0.03510,3.23,0.0,39.98,3.98,1.96,1.01,242.2,,266.19200,-29.30763
320,359.58557,-0.12764,2.32,-33.2,48.75,3.84,2.22,1.02,232.1,,266.28225,-29.35635
321,359.58532,-0.12387,2.00,-33.2,25.16,2.94,2.19,1.24,235.3,,266.27841,-29.35460
322,359.58314,-0.12013,5.98,49.7,66.68,2.81,2.27,1.35,230.9,,266.27345,-29.35451
323,359.58273,-0.02309,5.41,-33.2,113.19,3.00,1.92,0.85,242.2,,266.17828,-29.30417
324,359.58159,-0.02835,1.26,0.0,18.99,3.25,2.00,1.13,64.7,,266.18274,-29.30789
325,359.57500,-0.03812,1.59,16.6,27.08,3.19,2.00,1.00,63.0,,266.18835,-29.31861
326,359.57453,-0.08034,5.50,-33.2,36.01,2.89,3.55,1.47,221.2,,266.22936,-29.34107
327,359.57163,-0.06838,10.87,16.6,203.60,3.63,1.96,0.93,235.1,,266.21592,-29.33730
328,359.56911,-0.04780,8.74,16.6,14.62,2.52,1.79,0.73,241.8,,266.19428,-29.32869
329,359.56875,-0.06905,0.56,0.0,38.35,5.11,4.50,1.73,254.9,,266.21485,-29.34010
330,359.56357,-0.08833,2.03,16.6,34.29,2.97,1.96,1.03,227.4,,266.23061,-29.35459
331,359.56338,-0.07097,0.73,0.0,26.92,4.42,2.14,1.10,61.4,,266.21351,-29.34569
332,359.56268,-0.14744,1.86,16.6,10.99,2.19,1.96,1.15,223.6,,266.28792,-29.38621
333,359.56238,0.00319,4.32,-99.5,12.61,1.95,5.24,1.16,66.8,,266.14039,-29.30778
334,359.56205,-0.07962,2.80,-16.6,48.77,6.82,2.11,0.93,235.8,,266.22118,-29.35134
335,359.56173,-0.10442,2.24,0.0,59.33,3.23,2.26,1.10,46.5,,266.24525,-29.36456
336,359.56124,-0.06490,4.82,16.6,34.59,4.62,3.55,1.77,47.5,,266.20629,-29.34434
337,359.56105,-0.09965,6.36,-33.2,18.80,3.16,6.00,1.46,243.4,,266.24017,-29.36265
338,359.56024,-0.07788,4.22,0.0,201.35,6.58,2.40,1.47,242.2,,266.21839,-29.35197
339,359.55987,-0.10264,20.80,-16.6,39.73,4.77,2.50,1.45,47.4,,266.24239,-29.36522
340,359.55948,-0.07965,2.83,0.0,88.69,8.18,2.30,1.25,236.9,,266.21966,-29.35355
341,359.55939,-0.06581,7.47,16.6,54.88,4.80,2.28,1.36,234.5,,266.20607,-29.34639
342,359.55915,-0.09138,4.98,-33.2,43.55,4.96,2.20,1.01,229.3,,266.23094,-29.35995
343,359.55800,-0.12721,1.75,49.7,15.75,2.61,2.52,1.51,41.9,,266.26532,-29.37964
344,359.55656,-0.02985,0.75,33.2,12.25,2.18,1.95,1.07,62.7,,266.16921,-29.33001
345,359.55541,-0.08125,0.61,49.7,12.27,2.17,1.88,0.91,236.7,,266.21879,-29.35785
346,359.55400,-0.08780,2.10,-33.2,26.30,3.26,2.39,1.14,227.5,,266.22435,-29.36248
347,359.55224,-0.10681,0.84,-16.6,14.87,2.97,1.57,1.23,221.6,,266.24190,-29.37391
348,359.55190,-0.09791,3.44,0.0,49.21,5.06,2.21,1.08,226.1,,266.23299,-29.36955
349,359.54964,-0.02676,1.12,16.6,9.15,1.79,2.63,1.59,-80.5,,266.16203,-29.33430
350,359.54830,-0.10225,1.79,0.0,23.91,2.92,2.37,1.08,225.7,,266.23508,-29.37488
351,359.54553,0.02807,0.63,165.8,9.69,1.75,2.30,0.96,68.4,,266.10597,-29.30912
352,359.54356,-0.03096,0.59,132.6,12.23,1.97,1.76,0.93,240.6,,266.16250,-29.34167
353,359.54333,-0.07923,3.83,-149.2,20.59,1.67,3.69,1.72,30.8,,266.20957,-29.36710
354,359.53838,-0.00289,0.42,-99.5,104.52,0.91,1.97,0.07,92.8,,266.13194,-29.33141
355,359.53821,-0.00291,8.84,-99.5,124.24,5.13,2.48,0.98,247.7,,266.13186,-29.33157
