ncomps	x	y	amplitude	err amplitude	shift	err shift	width	err width	rms	residual	chisq	dof	redchisq	aic
1.0	12.0	0.0	0.4138280249225351	2533.0793407861975	-2901.564988127654	2810252.270565779	813.7216866157795	390358.94898460124	0.000974890892393887	0.0013717371328022974	61.37500059628122	28.0	2.1919643070100436	-401.7951038842688
1.0	15.5	0.0	0.0008008961702343839	0.0003968735841710093	32.22731655859502	22.286346313768398	35.17284849485373	34.14459060003088	0.0008159279241226614	0.0012649067225202768	74.50356041257554	28.0	2.660841443306269	-406.82190126595054
1.0	19.0	0.0	0.0008124010147461615	0.0004045027007405437	30.50727242441694	13.687829936891918	23.627763561832293	15.434391405250187	0.0007160095847211778	0.0011640010039448397	81.9277658353871	28.0	2.925991636978111	-411.97639214364483
2.0	22.5	0.0	0.0019965674236723384	0.0004930314782085923	9.659189404868258	0.7526941140807449	2.6596017928339606	0.7639231500172108	0.00048380161751993	0.0004591187605262921	28.39089713684997	25.0	1.1356358854739987	-460.5232858740561
2.0	22.5	0.0	0.015533918034033471	22.617707415397515	37.70116449246898	34.12648864955591	0.8295952649882532	415.4319217504407	0.00048380161751993	0.0004591187605262921	28.39089713684997	25.0	1.1356358854739987	-460.5232858740561
2.0	26.0	0.0	0.0033561795860730464	0.0006453964778212779	8.511959449264394	0.5054651730734542	2.2563244158681477	0.5003117426346048	0.0006697889766655862	0.0005541106280323132	21.85851121789431	25.0	0.8743404487157724	-448.46126874458423
2.0	26.0	0.0	0.004515089002205144	0.001134505665780931	37.14640843268357	0.3987496813632151	1.6428408519525126	0.5114746302885814	0.0006697889766655862	0.0005541106280323132	21.85851121789431	25.0	0.8743404487157724	-448.46126874458423
1.0	29.5	0.0	0.003854541862732188	0.0010279105072635737	8.334439310657821	0.7811182783793248	2.506176651727186	0.7648117804014838	0.0006188728730194271	0.0010005147992513232	81.85164810511911	28.0	2.923273146611397	-421.04441506272855
2.0	113.5	0.0	0.0006504783410279344	0.0002015766753918844	14.7914132454642	14.956480807910756	27.569274413247566	15.043905559761098	2.6953144697472453e-05	0.0005547234376671229	13131.81329920109	25.0	525.2725319680436	-449.3144744647008
2.0	113.5	0.0	-0.0029160182425038914	0.000680638357751479	38.0270420764784	0.5638049478904597	2.2449481748369178	0.669826818399385	2.6953144697472453e-05	0.0005547234376671229	13131.81329920109	25.0	525.2725319680436	-449.3144744647008
1.0	145.0	0.0	0.002593306019609285	0.0006189900162426261	24.976115666407885	1.7299703715077495	6.27837383780722	1.729976232641669	0.0006675185868516564	0.0009501485716909328	62.861483275797816	28.0	2.2450529741356364	-424.5362579965514
1.0	152.0	0.0	0.003030638176226339	0.0004981268287257914	27.615090334383158	1.3321224874423025	7.016514230663505	1.3321183389247755	0.0004608408489730209	0.0008032904107809428	95.49558276398943	28.0	3.410556527285337	-434.5456185615452
1.0	155.5	0.0	0.0028277620872251604	0.00044559563967610795	27.83926590982081	1.477058351748444	8.120216233509183	1.4770617469779783	0.0003914332191925496	0.0007697704960306154	122.5259542589435	28.0	4.37592693781941	-436.93983449898286
1.0	159.0	0.0	0.0024717869177341427	0.0003989658297940162	27.393856644426638	1.7141707441242116	9.194483772674797	1.7141687030081707	0.0005053000058978796	0.0007414930881033119	66.76887731460526	28.0	2.3846027612359024	-439.92857598900633
1.0	166.0	0.0	0.0030305512396336153	0.00046273452360476417	23.836153667403703	1.6176443749732237	9.17342604275753	1.6176571623824831	0.0005810941802337766	0.0008554092160876042	67.7553336524894	28.0	2.419833344731764	-430.80877407239177
1.0	176.5	0.0	0.0019121427995839792	0.0004746412925656244	24.223892977119206	2.8079440737275156	9.798209078824561	2.8080438533338024	0.0007209968753159046	0.000910150805389234	49.44372326113742	28.0	1.7658472593263366	-427.20112254087115
1.0	183.5	0.0	0.003027901568580712	0.0004960848862835034	20.382293152996763	1.0518400426541545	5.560344592048774	1.051841197294675	0.0007110355072654784	0.0007072435419761164	31.52048953967066	28.0	1.1257317692739521	-442.01981052549445
1.0	187.0	0.0	0.004351120591318764	0.0006365727731965848	20.00377791384425	0.7163848592655235	4.239739813904724	0.7163818364372188	0.000848272000439465	0.0007763639212416665	27.81065410613844	28.0	0.9932376466478015	-434.95989114527447
1.0	190.5	0.0	0.0038564835432071992	0.0005697316385630579	18.790729818183003	0.9950414326618373	5.833253672863161	0.9950419647830574	0.0006991741247475147	0.0008073246034508485	45.10803076997288	28.0	1.6110010989276027	-431.95171121570746
1.0	194.0	0.0	0.003371136681055955	0.0004751774336075329	16.180401631034158	1.067087375072351	6.557126410728032	1.067089682839955	0.0005856006755493581	0.0007219802560149719	50.27659593563738	28.0	1.7955927119870494	-439.5790757790056
1.0	197.5	0.0	0.0027746527129652618	0.0004965049178689025	15.025984155757898	1.1934374082188683	5.776748193347566	1.1934398177268442	0.0007095266482792795	0.0007167883113696572	32.94073603489689	28.0	1.1764548583891745	-440.785277480065
1.0	204.5	0.0	0.002903602682933577	0.0007243566914327382	17.725520671180195	1.021801021888212	3.545759395630685	1.021882828412404	0.0006583646172657609	0.0008361182545948292	49.99935720067624	28.0	1.7856913285955802	-432.48900215280855
1.0	211.5	0.0	0.002995375097835358	0.0008129235834981044	18.47845722337337	1.1630149103791108	3.7121190831969972	1.1630227070088943	0.0007909942069090903	0.0009581025090652346	45.655226611952976	28.0	1.6305438075697491	-423.92768821435175
